Actual,Predicted
0,2.4046118e-05
2,1.999995
1,1.0000076
1,1.0000025
2,1.999995
2,1.999995
1,1.0000025
2,1.999995
1,1.0000025
2,1.999995
0,2.4046118e-05
1,1.0000025
2,1.999995
1,1.0000076
2,1.999995
2,1.999995
3,2.9999743
3,2.9999743
3,2.9999743
1,1.0000025
1,1.0000076
1,1.0000025
2,1.999995
1,1.0000025
3,2.9999743
1,1.0000025
0,2.4046118e-05
1,1.0000076
1,1.0000025
1,1.0000025
1,1.0000025
2,1.0000076
1,1.0000076
1,1.0000025
2,1.0000076
1,1.0000025
2,1.999995
1,1.0000076
3,1.0000076
0,2.4046118e-05
1,1.0000025
1,1.0000025
1,1.0000076
1,1.0000076
2,1.0000076
3,2.9999743
1,1.0000025
2,1.0000076
2,1.999995
2,1.999995
3,2.9999743
1,1.0000076
3,2.9999743
1,1.0000025
1,1.0000025
3,2.9999743
3,2.9999743
2,1.999995
1,1.0000076
3,2.9999743
1,1.0000025
2,1.999995
1,1.0000025
1,1.0000025
1,1.0000025
2,1.999995
3,2.9999743
2,1.999995
0,2.4046118e-05
1,1.0000076
2,1.999995
1,1.0000025
1,1.0000025
1,1.0000025
2,1.999995
2,1.999995
3,2.9999743
0,2.4046118e-05
1,1.0000025
1,1.0000025
1,1.0000076
2,1.999995
1,0.99993163
2,1.0000076
2,1.999995
1,1.0000076
2,1.999995
1,1.0000025
2,1.999995
2,1.999995
1,1.0000076
1,1.0000025
1,1.0000076
1,1.0000025
1,1.0000076
1,1.0000025
1,1.0000025
3,2.9999743
1,1.0000025
1,1.0000076
1,1.0000076
2,1.999995
1,1.0000025
2,1.999995
2,1.999995
1,1.0000076
2,1.999995
2,1.999995
2,1.999995
0,2.4046118e-05
1,1.0000025
2,1.999995
0,2.4046118e-05
2,1.999995
1,1.0000025
1,1.0000025
1,1.0000025
1,1.0000025
1,1.0000025
1,1.0000076
1,1.0000025
1,1.0000025
1,1.0000025
3,2.9999743
1,1.0000076
1,1.0000025
3,2.9999743
1,1.0000076
0,2.4046118e-05
2,1.999995
2,1.0000076
2,1.999995
1,1.0000076
2,1.999995
2,1.999995
2,1.0000076
1,1.0000025
1,1.0000076
2,1.0000076
1,1.0000025
0,2.4046118e-05
0,2.4046118e-05
1,1.0000076
2,1.999995
2,1.0000076
1,1.0000025
1,1.0000025
2,1.0000076
2,1.999995
1,1.0000025
1,1.0000025
2,1.999995
2,1.999995
1,1.0000025
1,1.0000025
1,1.0000025
2,1.999995
1,1.0000025
2,1.0000076
1,1.0000076
2,1.999995
0,2.4046118e-05
1,1.0000076
1,1.0000025
1,1.0000076
2,1.0000076
1,1.0000076
1,1.0000076
2,1.0000076
1,1.0000025
2,1.999995
3,2.9999743
1,1.0000025
1,1.0000076
0,2.4046118e-05
1,1.0000025
2,1.999995
2,1.999995
2,1.999995
1,1.0000025
3,1.0000076
1,1.0000025
2,1.0000076
1,1.0000025
1,1.0000025
3,2.9999743
1,1.0000076
2,1.0000076
1,1.0000025
2,1.999995
1,1.0000025
1,1.0000025
1,1.0000025
1,1.0000076
1,1.0000076
2,1.999995
3,1.0000076
0,2.4046118e-05
1,1.0000025
2,1.999995
2,1.999995
2,1.999995
2,1.999995
2,1.999995
2,1.999995
3,1.0000076
2,1.999995
2,1.999995
1,1.0000025
1,1.0000025
0,2.4046118e-05
1,1.0000025
1,1.0000025
0,2.4046118e-05
2,1.999995
1,1.0000076
0,2.4046118e-05
1,1.0000025
1,1.0000025
0,2.4046118e-05
3,1.0000076
0,2.4046118e-05
1,1.0000025
2,1.999995
1,1.0000025
1,1.0000076
1,1.0000025
1,1.0000025
1,1.0000025
1,1.0000076
2,1.999995
2,1.999995
2,1.0000076
2,1.999995
2,1.0000076
1,1.0000025
1,1.0000076
1,1.0000076
1,1.0000025
2,1.0000076
2,1.0000076
1,1.0000025
